rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0003438405,0.0135636,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0004075614,0.0150876,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0004738059,0.0158496,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0005255397,0.016891,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.000340686,0.0130048,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0004712823,0.016129,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0002227077,0.0098806,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0001634031,0.0038354,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0002239695,0.0073914,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0002870595,0.0094234,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0003444714,0.0107696,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0004081923,0.0120904,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0004719132,0.0134874,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0005318487,0.0145796,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0005943078,0.0160274,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0006466725,0.0175768,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0005905224,0.0157988,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0002283858,0.007747,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.0004763295,0.0137922,1,0,0
918,0.00499,998,0.00092718,0.038,0.01571,0.00695844663790994,0.000353304,0.0111252,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0001608795,0.0056388,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0002195532,0.0082042,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0002826432,0.0103124,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0003438405,0.0119888,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.000410085,0.0138176,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0004744368,0.0153162,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0005394195,0.016129,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0006050331,0.017399,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0006485652,0.0189738,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.000220815,0.0080264,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0003514113,0.0120142,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.000485793,0.015367,1,0,0
950,0.01996,998,0.0009595,0.038,0.01571,0.00898331598136607,0.0006050331,0.0178562,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0001615104,0.0084074,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0002233386,0.011049,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0002883213,0.0131572,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.000346995,0.0146304,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0004145013,0.0167132,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0004750677,0.01778,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0005280633,0.0182626,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0002296476,0.0112776,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0003438405,0.0144018,1,0,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.000473175,0.0174498,1,0,0
950,0.01996,998,0.0009595,0.038,0.007442,0.00898331598136607,0.0001564632,0.0097536,1,0,0
950,0.01996,998,0.0009595,0.038,0.007442,0.00898331598136607,0.0002195532,0.0120142,1,0,0
950,0.01996,998,0.0009595,0.038,0.007442,0.00898331598136607,0.0002851668,0.01397,1,0,0
950,0.01996,998,0.0009595,0.038,0.007442,0.00898331598136607,0.000353304,0.0158242,1,0,0
950,0.01996,998,0.0009595,0.038,0.007442,0.00898331598136607,0.0003135573,0.0145288,1,0,0
950,0.01996,998,0.0009595,0.038,0.007442,0.00898331598136607,0.0001924245,0.0107442,1,0,0
918,0.006625,1325,0.002754,0.038,0.007442,0.00308503496092042,9.836611881507e-05,0.0064516,1,0,0
918,0.006625,1325,0.002754,0.038,0.007442,0.00308503496092042,0.00014446038699387,0.0080772,1,0,0
918,0.006625,1325,0.002754,0.038,0.007442,0.00308503496092042,0.00018960425794917,0.0092202,1,0,0
918,0.006625,1325,0.002754,0.038,0.007442,0.00308503496092042,0.00021383938866258,0.0107188,1,0,0
918,0.006625,1325,0.002754,0.038,0.007442,0.00308503496092042,0.00017582349738825,0.009017,1,0,0
918,0.006625,1325,0.002754,0.038,0.007442,0.00308503496092042,0.00013210522233129,0.007747,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,9.599012556705e-05,0.005842,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00014493558566871,0.0074676,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00019293064848378,0.008763,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00024092571123576,0.0101092,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.0002874951780894,0.011049,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00033168865175811,0.0117094,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00021146339547765,0.0093218,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00012592764,0.0067056,1,0,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00030270153461175,0.0113284,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00010121731061175,0.0042164,1,0,0
